3/3/2026	12:38 PM
Pseudo Cross Correlation
Scattering angle:	28.00
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	1.002
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	95.8
Average Count rate  B (kHz):	87.9
Intercept:	0.9918
Cumulant 1st	379.0387
Cumulant 2nd	275.2997	252.2168
Cumulant 3rd	251.6986	282.3103

Lag time (s)         g2-1
1.25E-08	0.941611
2.5E-08	1.01405
3.75E-08	1.02052
5E-08	0.944845
6.25E-08	1.02504
7.5E-08	0.97201
8.75E-08	1.04833
1E-07	0.990766
1.125E-07	0.960368
1.25E-07	1.03669
1.375E-07	1.01599
1.5E-07	0.925442
1.625E-07	1.01728
1.75E-07	1.00823
1.875E-07	1.02116
2E-07	0.980418
2.125E-07	0.996263
2.375E-07	1.00144
2.625E-07	0.970716
2.875E-07	0.966189
3.125E-07	1.00338
3.375E-07	1.03636
3.625E-07	0.932233
3.875E-07	0.949696
4.125E-07	0.976375
4.625E-07	0.972656
5.125E-07	0.994647
5.625E-07	1.0189
6.125E-07	0.986077
6.625E-07	0.998365
7.125E-07	1.00791
7.625E-07	1.00952
8.125E-07	0.982277
9.125E-07	0.985349
1.0125E-06	1.01745
1.1125E-06	1.00572
1.2125E-06	1.01268
1.3125E-06	0.998123
1.4125E-06	1.0071
1.5125E-06	1.00152
1.6125E-06	1.01575
1.8125E-06	0.982964
2.0125E-06	1.00451
2.2125E-06	1.00487
2.4125E-06	1.00314
2.6125E-06	1.01344
2.8125E-06	0.982196
3.0125E-06	0.988138
3.2125E-06	0.981529
3.6125E-06	0.98256
4.0125E-06	0.981307
4.4125E-06	0.99881
4.8125E-06	0.982863
5.2125E-06	0.999356
5.6125E-06	0.999214
6.0125E-06	0.98258
6.4125E-06	0.98539
7.2125E-06	0.988482
8.0125E-06	0.991999
8.8125E-06	0.987279
9.6125E-06	0.990442
1.04125E-05	0.989957
1.12125E-05	0.984672
1.20125E-05	0.993656
1.28125E-05	0.993034
1.44125E-05	0.994217
1.60125E-05	0.991114
1.76125E-05	0.997683
1.92125E-05	0.984439
2.08125E-05	0.993146
2.24125E-05	0.993525
2.40125E-05	0.997309
2.56125E-05	0.996084
2.88125E-05	0.991996
3.20125E-05	0.990591
3.52125E-05	0.994009
3.84125E-05	0.991142
4.16125E-05	0.988427
4.48125E-05	0.988599
4.80125E-05	0.989473
5.12125E-05	0.989012
5.76125E-05	0.988379
6.40125E-05	0.986986
7.04125E-05	0.983456
7.68125E-05	0.988163
8.32125E-05	0.98797
8.96125E-05	0.983627
9.60125E-05	0.98592
0.000102413	0.986562
0.000115213	0.983002
0.000128013	0.982804
0.000140813	0.982811
0.000153613	0.98181
0.000166413	0.978678
0.000179213	0.978558
0.000192013	0.979044
0.000204813	0.976977
0.000230413	0.975423
0.000256013	0.974466
0.000281613	0.972524
0.000307213	0.970681
0.000332813	0.971349
0.000358413	0.966342
0.000384013	0.964299
0.000409613	0.962629
0.000460813	0.959646
0.000512013	0.95668
0.000563213	0.953506
0.000614413	0.950604
0.000665613	0.946212
0.000716813	0.943735
0.000768013	0.939038
0.000819213	0.935925
0.000921613	0.9292
0.00102401	0.923424
0.00112641	0.918007
0.00122881	0.911593
0.00133121	0.906405
0.00143361	0.900583
0.00153601	0.894393
0.00163841	0.889266
0.00184321	0.87785
0.00204801	0.867873
0.00225281	0.857272
0.00245761	0.847658
0.00266241	0.837317
0.00286721	0.827752
0.00307201	0.818104
0.00327681	0.809443
0.00368641	0.792329
0.00409601	0.774792
0.00450561	0.75929
0.00491521	0.743311
0.00532481	0.728643
0.00573441	0.715285
0.00614401	0.702455
0.00655361	0.690318
0.00737281	0.665721
0.00819201	0.642238
0.00901121	0.621706
0.00983041	0.602199
0.0106496	0.583691
0.0114688	0.565927
0.012288	0.547853
0.0131072	0.5312
0.0147456	0.499558
0.016384	0.469619
0.0180224	0.444141
0.0196608	0.423878
0.0212992	0.409933
0.0229376	0.395012
0.024576	0.378803
0.0262144	0.364052
0.0294912	0.340663
0.032768	0.320012
0.0360448	0.306447
0.0393216	0.296534
0.0425984	0.289225
0.0458752	0.283742
0.049152	0.27982
0.0524288	0.273496
0.0589824	0.272423
0.065536	0.274994
0.0720896	0.260926
0.0786432	0.249373
0.0851968	0.239716
0.0917504	0.222947
0.098304	0.220303
0.104858	0.21559
0.117965	0.245274
0.131072	0.244223
0.144179	0.235386
0.157286	0.238664
0.170394	0.230424
0.183501	0.23426
0.196608	0.227378
0.209715	0.217091
0.23593	0.218049
0.262144	0.214501
0.288358	0.244213
0.314573	0.261091
0.340787	0.244752
0.367002	0.285134
0.393216	0.271241
0.41943	0.273811
0.471859	0.239694
0.524288	0.223226
0.576717	0.262857
0.629146	0.294289
0.681574	0.260194
0.734003	0.289579
0.786432	0.279902
0.838861	0.20274
0.943718	0.243232
1.04858	0.277188
1.15343	0.298023
1.25829	0.244271
1.36315	0.259462
1.46801	0.221334
1.57286	0.238901
1.67772	0.251153
1.88744	0.241544
2.09715	0.23456
2.30687	0.22683
2.51658	0.221472
2.7263	0.201351
2.93601	0.220183
3.14573	0.182493
3.35544	0.197583
3.77487	0.175975
4.1943	0.163512
4.61373	0.140963
5.03316	0.143718
5.4526	0.172324
5.87203	0.223843
6.29146	0.256766
6.71089	0.318477
7.54975	0.452261
8.38861	0.547011
9.22747	0.63251
10.0663	0.647289
10.9052	0.654599
11.7441	0.506939
12.5829	0.437519

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	31.566620	27.275085
0.052429	69.828033	62.580109
0.104858	26.245117	21.953583
