3/3/2026	12:16 PM
Pseudo Cross Correlation
Scattering angle:	80.00
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	17.3
Average Count rate  B (kHz):	16.1
Intercept:	0.7171
Cumulant 1st	14.8811
Cumulant 2nd	10.9270	11.5507
Cumulant 3rd	9.5839	13.4931

Lag time (s)         g2-1
1.25E-08	0.892389
2.5E-08	0.832629
3.75E-08	0.61351
5E-08	0.65335
6.25E-08	0.63343
7.5E-08	0.73303
8.75E-08	0.752949
1E-07	0.553751
1.125E-07	0.812709
1.25E-07	0.454151
1.375E-07	0.752949
1.5E-07	0.553751
1.625E-07	0.71311
1.75E-07	0.972068
1.875E-07	0.872469
2E-07	1.07167
2.125E-07	0.69319
2.375E-07	0.892389
2.625E-07	0.67327
2.875E-07	0.842589
3.125E-07	0.68323
3.375E-07	0.842589
3.625E-07	0.563711
3.875E-07	0.812709
4.125E-07	0.558731
4.625E-07	0.67825
5.125E-07	0.57865
5.625E-07	0.738009
6.125E-07	0.70315
6.625E-07	0.508931
7.125E-07	0.747969
7.625E-07	0.66331
8.125E-07	0.67078
9.125E-07	0.755439
1.0125E-06	0.70813
1.1125E-06	0.68821
1.2125E-06	0.67825
1.3125E-06	0.66331
1.4125E-06	0.66331
1.5125E-06	0.71062
1.6125E-06	0.62845
1.8125E-06	0.674515
2.0125E-06	0.71062
2.2125E-06	0.757929
2.4125E-06	0.681985
2.6125E-06	0.781584
2.8125E-06	0.764154
3.0125E-06	0.726805
3.2125E-06	0.705017
3.6125E-06	0.660197
4.0125E-06	0.675137
4.4125E-06	0.69568
4.8125E-06	0.67576
5.2125E-06	0.67078
5.6125E-06	0.65833
6.0125E-06	0.67576
6.4125E-06	0.669224
7.2125E-06	0.656151
8.0125E-06	0.635298
8.8125E-06	0.654595
9.6125E-06	0.602616
1.04125E-05	0.631874
1.12125E-05	0.64588
1.20125E-05	0.594842
1.28125E-05	0.630635
1.44125E-05	0.615851
1.60125E-05	0.616785
1.76125E-05	0.583948
1.92125E-05	0.601378
2.08125E-05	0.560915
2.24125E-05	0.596553
2.40125E-05	0.571187
2.56125E-05	0.56146
2.88125E-05	0.536015
3.20125E-05	0.537105
3.52125E-05	0.519908
3.84125E-05	0.506836
4.16125E-05	0.494619
4.48125E-05	0.464428
4.80125E-05	0.468163
5.12125E-05	0.444858
5.76125E-05	0.445091
6.40125E-05	0.41704
7.04125E-05	0.426455
7.68125E-05	0.403384
8.32125E-05	0.376539
8.96125E-05	0.36619
9.60125E-05	0.35549
0.000102413	0.336718
0.000115213	0.325674
0.000128013	0.321997
0.000140813	0.29399
0.000153613	0.273758
0.000166413	0.266561
0.000179213	0.252651
0.000192013	0.251523
0.000204813	0.238148
0.000230413	0.235249
0.000256013	0.21352
0.000281613	0.202257
0.000307213	0.193581
0.000332813	0.176467
0.000358413	0.173412
0.000384013	0.159435
0.000409613	0.154536
0.000460813	0.152644
0.000512013	0.138633
0.000563213	0.128284
0.000614413	0.121115
0.000665613	0.113946
0.000716813	0.10333
0.000768013	0.0953051
0.000819213	0.0900508
0.000921613	0.0792361
0.00102401	0.0689641
0.00112641	0.0589418
0.00122881	0.0516029
0.00133121	0.0436693
0.00143361	0.0448098
0.00153601	0.0397875
0.00163841	0.037603
0.00184321	0.029708
0.00204801	0.0221205
0.00225281	0.0131179
0.00245761	0.00952327
0.00266241	0.00802038
0.00286721	0.00834138
0.00307201	0.00833003
0.00327681	0.0037416
0.00368641	0.00980998
0.00409601	0.00474821
0.00450561	0.0026779
0.00491521	0.000907055
0.00532481	0.00396304
0.00573441	0.0026639
0.00614401	0.00216679
0.00655361	0.00326902
0.00737281	0.00296916
0.00819201	0.0045013
0.00901121	0.000849146
0.00983041	-0.00159628
0.0106496	-0.00367241
0.0114688	0.00196297
0.012288	0.00211946
0.0131072	0.00532293
0.0147456	0.0039598
0.016384	0.000756495
0.0180224	0.00194699
0.0196608	0.00359879
0.0212992	-0.000488956
0.0229376	0.00199301
0.024576	-0.000522355
0.0262144	0.00100578
0.0294912	0.00193567
0.032768	0.00136563
0.0360448	0.00021248
0.0393216	0.000816154
0.0425984	0.000492533
0.0458752	0.00200822
0.049152	0.00321901
0.0524288	0.00501738
0.0589824	0.00162279
0.065536	0.00255879
0.0720896	0.000773551
0.0786432	0.000705659
0.0851968	-0.000434749
0.0917504	-0.00177583
0.098304	0.000457592
0.104858	-0.000349897
0.117965	-0.000158466
0.131072	-0.00276057
0.144179	-0.00169551
0.157286	0.000632049
0.170394	-0.00334088
0.183501	-0.00167883
0.196608	-0.000529334
0.209715	-0.000313934
0.23593	2.4244E-05
0.262144	0.000368704
0.288358	-0.000596962
0.314573	-0.00218345
0.340787	-0.00143707
0.367002	-0.00154061
0.393216	-0.000631169
0.41943	-0.000665798
0.471859	0.000113632
0.524288	-0.000823566
0.576717	-0.000785226
0.629146	-0.000729232
0.681574	-0.00102912
0.734003	-0.00220647
0.786432	-0.00223657
0.838861	-0.00118009
0.943718	-0.00309189
1.04858	-0.00262792
1.15343	-0.0021987
1.25829	-0.00171715
1.36315	-0.000950151
1.46801	-0.000980753
1.57286	-0.00105047
1.67772	-0.00118432
1.88744	-0.000717393
2.09715	-0.00123902
2.30687	-0.00288424
2.51658	-0.00146617
2.7263	-0.000656807
2.93601	-0.00115024
3.14573	-0.0014473
3.35544	-0.000644001
3.77487	6.26086E-05
4.1943	0.00187413
4.61373	0.00133631
5.03316	0.00200518
5.4526	0.00245475
5.87203	0.00339496
6.29146	0.00431471
6.71089	0.00287339
7.54975	-0.000237798
8.38861	-9.7621E-05
9.22747	-0.00675696
10.0663	-0.00584447
10.9052	-0.0121309
11.7441	-0.0108709
12.5829	0.0271897

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	17.318726	16.021729
0.052429	19.664764	17.375946
0.104858	18.787384	19.397736
0.157286	17.166138	14.629364
0.209715	15.487671	14.667511
0.262144	20.103455	18.787384
0.314573	15.106201	14.476776
0.367002	16.860962	15.182495
0.419430	17.242432	16.498566
0.471859	20.427704	18.329620
0.524288	16.117096	15.430450
0.576717	17.547607	17.127991
0.629146	16.460419	15.983582
0.681574	21.591187	19.493103
0.734003	17.127991	15.583038
0.786432	18.100739	17.299652
0.838861	21.533966	19.054413
0.891290	19.836426	17.547607
0.943718	15.888214	14.686584
0.996147	15.697479	14.038086
1.048576	18.177032	14.934540
1.101005	15.811920	15.354156
1.153434	16.632080	15.449524
1.205862	16.555786	14.553070
1.258291	16.613007	15.430450
