3/3/2026	9:41 AM
Pseudo Cross Correlation
Scattering angle:	15.99
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	1.002
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	246.1
Average Count rate  B (kHz):	225.7
Intercept:	0.8737
Cumulant 1st	44.1849
Cumulant 2nd	28.7816	28.3260
Cumulant 3rd	21.8923	29.3350

Lag time (s)         g2-1
1.25E-08	0.867083
2.5E-08	0.893748
3.75E-08	0.862289
5E-08	0.879866
6.25E-08	0.856197
7.5E-08	0.871377
8.75E-08	0.886757
1E-07	0.872576
1.125E-07	0.879267
1.25E-07	0.872875
1.375E-07	0.868781
1.5E-07	0.882862
1.625E-07	0.874573
1.75E-07	0.889154
1.875E-07	0.872176
2E-07	0.854799
2.125E-07	0.879816
2.375E-07	0.886358
2.625E-07	0.879717
2.875E-07	0.887556
3.125E-07	0.873924
3.375E-07	0.880016
3.625E-07	0.875422
3.875E-07	0.89265
4.125E-07	0.881564
4.625E-07	0.899441
5.125E-07	0.87712
5.625E-07	0.88506
6.125E-07	0.880466
6.625E-07	0.86913
7.125E-07	0.860791
7.625E-07	0.882713
8.125E-07	0.881152
9.125E-07	0.879679
1.0125E-06	0.87742
1.1125E-06	0.879042
1.2125E-06	0.880054
1.3125E-06	0.872202
1.4125E-06	0.869543
1.5125E-06	0.877295
1.6125E-06	0.881527
1.8125E-06	0.876946
2.0125E-06	0.879074
2.2125E-06	0.880235
2.4125E-06	0.880934
2.6125E-06	0.875947
2.8125E-06	0.874642
3.0125E-06	0.879992
3.2125E-06	0.880323
3.6125E-06	0.876378
4.0125E-06	0.87864
4.4125E-06	0.875382
4.8125E-06	0.875366
5.2125E-06	0.872994
5.6125E-06	0.873928
6.0125E-06	0.881165
6.4125E-06	0.877787
7.2125E-06	0.873115
8.0125E-06	0.877609
8.8125E-06	0.870963
9.6125E-06	0.875736
1.04125E-05	0.876829
1.12125E-05	0.87656
1.20125E-05	0.873461
1.28125E-05	0.872975
1.44125E-05	0.871982
1.60125E-05	0.870879
1.76125E-05	0.872293
1.92125E-05	0.872352
2.08125E-05	0.870836
2.24125E-05	0.871975
2.40125E-05	0.8721
2.56125E-05	0.869795
2.88125E-05	0.869813
3.20125E-05	0.868319
3.52125E-05	0.866051
3.84125E-05	0.865621
4.16125E-05	0.864649
4.48125E-05	0.863803
4.80125E-05	0.862623
5.12125E-05	0.861863
5.76125E-05	0.859634
6.40125E-05	0.858572
7.04125E-05	0.857999
7.68125E-05	0.855521
8.32125E-05	0.852889
8.96125E-05	0.852632
9.60125E-05	0.8506
0.000102413	0.848634
0.000115213	0.84599
0.000128013	0.841699
0.000140813	0.838068
0.000153613	0.83528
0.000166413	0.832069
0.000179213	0.82902
0.000192013	0.825286
0.000204813	0.823239
0.000230413	0.817459
0.000256013	0.811434
0.000281613	0.806302
0.000307213	0.800204
0.000332813	0.795591
0.000358413	0.789584
0.000384013	0.784949
0.000409613	0.780403
0.000460813	0.770652
0.000512013	0.76103
0.000563213	0.752137
0.000614413	0.743614
0.000665613	0.734939
0.000716813	0.727025
0.000768013	0.719003
0.000819213	0.711765
0.000921613	0.697139
0.00102401	0.683521
0.00112641	0.671167
0.00122881	0.659371
0.00133121	0.648433
0.00143361	0.638517
0.00153601	0.629046
0.00163841	0.619876
0.00184321	0.60309
0.00204801	0.588883
0.00225281	0.575924
0.00245761	0.56355
0.00266241	0.552044
0.00286721	0.541432
0.00307201	0.531672
0.00327681	0.521893
0.00368641	0.503731
0.00409601	0.487679
0.00450561	0.474172
0.00491521	0.461398
0.00532481	0.44872
0.00573441	0.436136
0.00614401	0.423847
0.00655361	0.413014
0.00737281	0.392936
0.00819201	0.376783
0.00901121	0.361386
0.00983041	0.347918
0.0106496	0.334006
0.0114688	0.320546
0.012288	0.304975
0.0131072	0.291719
0.0147456	0.267751
0.016384	0.248491
0.0180224	0.227152
0.0196608	0.20971
0.0212992	0.197613
0.0229376	0.185878
0.024576	0.17649
0.0262144	0.168441
0.0294912	0.148674
0.032768	0.137407
0.0360448	0.12807
0.0393216	0.113723
0.0425984	0.100557
