# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 614.2125 6.0416e2 0.0000e0 -1.0000e0
24.00 291.2744 2.8145e2 4.0048e-1 -1.0000e0
24.50 76.9800 6.6991e1 0.0000e0 -1.0000e0
25.00 19.9872 9.9980e0 3.5825e-14 -1.0000e0
25.50 5.1603 -4.8289e0 3.5885e-5 -9.9426e-1
26.00 2.1513 -7.8256e0 6.9522e-2 -8.8367e-1
26.50 2.2450 -7.0874e0 1.4719e0 -8.9407e-1
27.00 1.5045 -6.1719e0 9.9191e-1 -7.7788e-1
27.50 0.0794 -7.8348e0 2.8358e0 -7.6284e-2
28.00 -0.9096 -8.9416e0 3.6310e0 1.4834e0
28.50 -0.9010 -8.3447e0 4.2976e0 1.4620e0
29.00 -0.6523 -6.5039e0 2.7197e0 9.2002e-1
29.50 -0.8435 -6.0357e0 2.3861e0 1.3245e0
30.00 -1.0841 -6.1988e0 3.3122e0 1.9569e0
30.50 -1.0891 -5.8123e0 2.8915e0 1.9716e0
31.00 -1.0635 -5.5432e0 3.1286e0 1.8964e0
31.50 -1.1601 -5.4875e0 3.6736e0 2.1904e0
32.00 -1.3202 -5.7385e0 4.3796e0 2.7443e0
32.50 -1.2273 -5.1771e0 3.6167e0 2.4121e0
33.00 -1.2998 -5.3166e0 4.8611e0 2.6685e0
33.50 -1.3000 -5.1226e0 5.1498e0 2.6693e0
34.00 -1.1301 -4.2515e0 3.1717e0 2.0960e0
34.50 -1.0996 -3.9216e0 2.7144e0 2.0030e0
35.00 -1.1219 -3.8398e0 3.0397e0 2.0707e0
35.50 -1.0652 -3.4753e0 2.2394e0 1.9013e0
36.00 -1.0529 -3.3840e0 2.5954e0 1.8660e0
36.50 -1.0896 -3.3700e0 2.8610e0 1.9731e0
37.00 -1.1496 -3.4237e0 3.2049e0 2.1569e0
37.50 -1.2691 -3.8658e0 5.1795e0 2.5577e0
38.00 -1.2066 -3.5637e0 4.5530e0 2.3420e0
38.50 -1.0999 -3.0611e0 3.0919e0 2.0039e0
39.00 -1.0654 -2.8921e0 2.9234e0 1.9020e0
39.50 -1.0715 -2.8866e0 3.2032e0 1.9196e0
40.00 -1.0461 -2.7713e0 3.1954e0 1.8465e0
40.50 -0.9971 -2.5792e0 3.0066e0 1.7104e0
41.00 -0.9485 -2.3837e0 2.6389e0 1.5817e0
41.50 -0.8825 -2.1769e0 2.3914e0 1.4169e0
42.00 -0.8349 -2.0307e0 2.3254e0 1.3045e0
42.50 -0.8009 -1.9444e0 2.4032e0 1.2276e0
43.00 -0.7466 -1.7822e0 2.1393e0 1.1099e0
43.50 -0.6908 -1.6394e0 1.9792e0 9.9535e-1
44.00 -0.6480 -1.5754e0 2.2130e0 9.1172e-1
44.50 -0.6031 -1.4305e0 1.9421e0 8.2786e-1
45.00 -0.5821 -1.3617e0 1.8688e0 7.8978e-1
45.50 -0.5588 -1.3225e0 2.0057e0 7.4856e-1
46.00 -0.5273 -1.2895e0 2.3131e0 6.9430e-1
46.50 -0.4813 -1.1817e0 2.1745e0 6.1815e-1
47.00 -0.4229 -1.0203e0 1.8360e0 5.2638e-1
47.50 -0.3759 -8.9139e-1 1.5641e0 4.5625e-1
48.00 -0.3272 -7.4899e-1 1.2359e0 3.8714e-1
48.50 -0.2976 -6.5976e-1 1.0331e0 3.4666e-1
49.00 -0.2821 -6.4818e-1 1.1443e0 3.2592e-1
49.50 -0.2486 -5.7468e-1 1.0460e0 2.8228e-1
50.00 -0.2065 -4.6817e-1 8.2344e-1 2.2933e-1
50.50 -0.1685 -3.7097e-1 6.1953e-1 1.8353e-1
51.00 -0.1442 -3.1929e-1 5.4828e-1 1.5515e-1
51.50 -0.1257 -2.7985e-1 4.9250e-1 1.3394e-1
52.00 -0.1128 -2.5747e-1 5.0275e-1 1.1945e-1
52.50 -0.1007 -2.2800e-1 4.4499e-1 1.0593e-1
53.00 -0.0812 -1.7690e-1 3.1701e-1 8.4620e-2
53.50 -0.0589 -1.2053e-1 1.8775e-1 6.0718e-2
54.00 -0.0417 -8.1030e-2 1.1164e-1 4.2577e-2
54.50 -0.0284 -5.4298e-2 6.9383e-2 2.8801e-2
55.00 -0.0176 -3.3717e-2 4.1045e-2 1.7744e-2
55.50 -0.0101 -1.9931e-2 2.3906e-2 1.0162e-2
56.00 -0.0050 -1.1356e-2 1.5317e-2 5.0131e-3
56.50 -0.0011 -5.2661e-3 9.9335e-3 1.1251e-3
57.00 0.0019 -6.8478e-4 6.1828e-3 -1.9011e-3
57.50 0.0042 2.6120e-3 3.6931e-3 -4.1978e-3
58.00 0.0059 4.9120e-3 2.1878e-3 -5.8764e-3
58.50 0.0070 6.4113e-3 1.3121e-3 -6.9962e-3
59.00 0.0077 7.3035e-3 8.2501e-4 -7.6678e-3
59.50 0.0080 7.7802e-3 5.5000e-4 -8.0159e-3
