time_seconds,time_between_measurements,temperature_c,total_volume,volume_delta,concentration,ph,net_charge
0.0,0.0,20.0,2500.0,0.0,0.0,12.144,-6.965784e-05
60.0,60.0,20.0,2500.0,0.0,0.0,12.155,-7.0551269e-05
80.3,20.0,20.0,2500.1,0.1,0.019999,12.156,-7.058505e-05
102.5,22.0,20.0,2500.2,0.1,0.039997,12.155,-7.0454127e-05
123.1,21.0,20.0,2500.3,0.1,0.059993,12.155,-7.0405556e-05
143.8,21.0,20.0,2500.4,0.1,0.079987,12.153,-7.0192829e-05
164.4,20.0,20.0,2500.5,0.1,0.09998,12.152,-7.0062453e-05
185.1,21.0,20.0,2500.6,0.1,0.119971,12.151,-6.9932259e-05
207.5,22.0,20.0,2500.7,0.1,0.139961,12.149,-6.9721005e-05
228.1,21.0,20.0,2500.8,0.1,0.159949,12.147,-6.9510485e-05
248.7,21.0,20.0,2500.9,0.1,0.179935,12.146,-6.9381199e-05
269.4,20.0,20.0,2501.0,0.1,0.19992,12.144,-6.9171772e-05
290.1,21.0,20.0,2501.1,0.1,0.219903,12.143,-6.9043025e-05
312.4,22.0,20.0,2501.2,0.1,0.239885,12.142,-6.8914457e-05
333.1,21.0,20.0,2501.3,0.1,0.259865,12.14,-6.8706472e-05
353.7,21.0,20.0,2501.4,0.1,0.279843,12.138,-6.8499206e-05
374.4,20.0,20.0,2501.5,0.1,0.29982,12.136,-6.8292657e-05
395.0,21.0,20.0,2501.6,0.1,0.319795,12.134,-6.808682e-05
417.5,22.0,20.0,2501.7,0.1,0.339769,12.133,-6.7959848e-05
438.1,21.0,20.0,2501.8,0.1,0.359741,12.131,-6.7755071e-05
458.8,21.0,20.0,2501.9,0.1,0.379711,12.13,-6.7628622e-05
479.4,20.0,20.0,2502.0,0.1,0.39968,12.128,-6.7424899e-05
500.1,21.0,20.0,2502.1,0.1,0.419648,12.127,-6.729897e-05
522.5,22.0,20.0,2502.2,0.1,0.439613,12.124,-6.7019551e-05
543.1,21.0,20.0,2502.3,0.1,0.459577,12.123,-6.6894312e-05
563.7,21.0,20.0,2502.4,0.1,0.47954,12.121,-6.6693022e-05
584.4,20.0,20.0,2502.5,0.1,0.499501,12.119,-6.6492421e-05
605.1,21.0,20.0,2502.6,0.1,0.51946,12.118,-6.6368035e-05
627.4,22.0,20.0,2502.7,0.1,0.539417,12.116,-6.6168459e-05
648.1,21.0,20.0,2502.8,0.1,0.559373,12.113,-6.5894723e-05
668.7,21.0,20.0,2502.9,0.1,0.579328,12.112,-6.5771348e-05
689.4,20.0,20.0,2503.0,0.1,0.599281,12.11,-6.5573806e-05
710.0,21.0,20.0,2503.1,0.1,0.619232,12.109,-6.545093e-05
732.5,22.0,20.0,2503.2,0.1,0.639182,12.107,-6.5254393e-05
753.1,21.0,20.0,2503.3,0.1,0.65913,12.105,-6.5058523e-05
773.7,21.0,20.0,2503.4,0.1,0.679076,12.102,-6.479033e-05
794.4,20.0,20.0,2503.5,0.1,0.699021,12.102,-6.4741595e-05
815.0,21.0,20.0,2503.6,0.1,0.718965,12.1,-6.4547377e-05
837.4,22.0,20.0,2503.7,0.1,0.738906,12.098,-6.4353816e-05
858.1,21.0,20.0,2503.8,0.1,0.758847,12.095,-6.4089077e-05
878.7,21.0,20.0,2503.9,0.1,0.778785,12.094,-6.3968652e-05
899.4,20.0,20.0,2504.0,0.1,0.798722,12.092,-6.3777044e-05
920.1,21.0,20.0,2504.1,0.1,0.818657,12.091,-6.3657098e-05
942.4,22.0,20.0,2504.2,0.1,0.838591,12.088,-6.3395759e-05
963.1,21.0,20.0,2504.3,0.1,0.858523,12.086,-6.3206077e-05
983.8,21.0,20.0,2504.4,0.1,0.878454,12.084,-6.301703e-05
1004.4,20.0,20.0,2504.5,0.1,0.898383,12.083,-6.289835e-05
1025.1,21.0,20.0,2504.6,0.1,0.91831,12.081,-6.271025e-05
1047.4,22.0,20.0,2504.7,0.1,0.938236,12.079,-6.2522779e-05
1068.1,21.0,20.0,2504.8,0.1,0.95816,12.077,-6.2335934e-05
1088.7,21.0,20.0,2504.9,0.1,0.978083,12.076,-6.2218341e-05
1109.4,20.0,20.0,2505.0,0.1,0.998004,12.073,-6.1964111e-05
1130.0,21.0,20.0,2505.1,0.1,1.017923,12.071,-6.1779127e-05
1152.4,22.0,20.0,2505.2,0.1,1.037841,12.069,-6.1594758e-05
1173.1,21.0,20.0,2505.3,0.1,1.057758,12.067,-6.1411001e-05
1193.7,21.0,20.0,2505.4,0.1,1.077672,12.066,-6.1294934e-05
1214.4,20.0,20.0,2505.5,0.1,1.097585,12.063,-6.1045312e-05
1235.0,21.0,20.0,2505.6,0.1,1.117497,12.062,-6.0929845e-05
1257.4,22.0,20.0,2505.7,0.1,1.137407,12.06,-6.0748205e-05
